temp,rain_1h,snow_1h,clouds_all,date_time,traffic_volume,year,month,day,hour,day_of_week,is_weekend,is_rush_hour,is_holiday,weather_main_clear,weather_main_clouds,weather_main_drizzle,weather_main_fog,weather_main_haze,weather_main_mist,weather_main_rain,weather_main_smoke,weather_main_snow,weather_main_squall,weather_main_thunderstorm,weather_desc_broken clouds,weather_desc_drizzle,weather_desc_few clouds,weather_desc_fog,weather_desc_haze,weather_desc_heavy snow,weather_desc_light intensity drizzle,weather_desc_light rain,weather_desc_light snow,weather_desc_mist,weather_desc_moderate rain,weather_desc_other,weather_desc_overcast clouds,weather_desc_proximity thunderstorm,weather_desc_scattered clouds,weather_desc_sky is clear
288.28,0.0,0.0,40,2012-10-02 09:00:00,5545,2012,10,2,9,1,0,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
289.36,0.0,0.0,75,2012-10-02 10:00:00,4516,2012,10,2,10,1,0,0,1,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
289.58,0.0,0.0,90,2012-10-02 11:00:00,4767,2012,10,2,11,1,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
290.13,0.0,0.0,90,2012-10-02 12:00:00,5026,2012,10,2,12,1,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
291.14,0.0,0.0,75,2012-10-02 13:00:00,4918,2012,10,2,13,1,0,0,1,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
291.72,0.0,0.0,1,2012-10-02 14:00:00,5181,2012,10,2,14,1,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
293.17,0.0,0.0,1,2012-10-02 15:00:00,5584,2012,10,2,15,1,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
293.86,0.0,0.0,1,2012-10-02 16:00:00,6015,2012,10,2,16,1,0,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
294.14,0.0,0.0,20,2012-10-02 17:00:00,5791,2012,10,2,17,1,0,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
293.1,0.0,0.0,20,2012-10-02 18:00:00,4770,2012,10,2,18,1,0,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
290.97,0.0,0.0,20,2012-10-02 19:00:00,3539,2012,10,2,19,1,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
289.38,0.0,0.0,1,2012-10-02 20:00:00,2784,2012,10,2,20,1,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
288.61,0.0,0.0,1,2012-10-02 21:00:00,2361,2012,10,2,21,1,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
287.16,0.0,0.0,1,2012-10-02 22:00:00,1529,2012,10,2,22,1,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
285.45,0.0,0.0,1,2012-10-02 23:00:00,963,2012,10,2,23,1,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
284.63,0.0,0.0,1,2012-10-03 00:00:00,506,2012,10,3,0,2,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
283.47,0.0,0.0,1,2012-10-03 01:00:00,321,2012,10,3,1,2,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
281.18,0.0,0.0,1,2012-10-03 02:00:00,273,2012,10,3,2,2,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
281.09,0.0,0.0,1,2012-10-03 03:00:00,367,2012,10,3,3,2,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
279.53,0.0,0.0,1,2012-10-03 04:00:00,814,2012,10,3,4,2,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
278.62,0.0,0.0,1,2012-10-03 05:00:00,2718,2012,10,3,5,2,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
278.23,0.0,0.0,1,2012-10-03 06:00:00,5673,2012,10,3,6,2,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
278.12,0.0,0.0,1,2012-10-03 08:00:00,6511,2012,10,3,8,2,0,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
282.48,0.0,0.0,1,2012-10-03 09:00:00,5471,2012,10,3,9,2,0,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
291.97,0.0,0.0,1,2012-10-03 12:00:00,5097,2012,10,3,12,2,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
293.23,0.0,0.0,1,2012-10-03 13:00:00,4887,2012,10,3,13,2,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
294.31,0.0,0.0,1,2012-10-03 14:00:00,5337,2012,10,3,14,2,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
295.17,0.0,0.0,1,2012-10-03 15:00:00,5692,2012,10,3,15,2,0,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
295.13,0.0,0.0,1,2012-10-03 16:00:00,6137,2012,10,3,16,2,0,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
293.66,0.0,0.0,20,2012-10-03 18:00:00,4623,2012,10,3,18,2,0,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
290.65,0.0,0.0,20,2012-10-03 19:00:00,3591,2012,10,3,19,2,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
288.19,0.0,0.0,20,2012-10-03 20:00:00,2898,2012,10,3,20,2,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
